,absolute angle of inclination,angle of inclination,number of electrodes,voltage magnitude,voltage frequency,electrode dimension,x pitch,number of phases,grain mass density,mesh size,gravity,phase shift,time step,maximum classified radius,distance between dust generation and first electrode,grain number density,yield
126,25.0,25.0,4.0,1500.0,5.0,6.0,20.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.027978461236,1.0,2.418699741364
127,335.0,25.0,8.0,1000.0,5.0,5.0,35.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.020377323031,1.0,2.590653419495
128,25.0,25.0,6.0,2000.0,20.0,4.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.046630766243,1.0,2.639298439026
129,335.0,25.0,4.0,500.0,15.0,4.0,30.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.017016153783,1.0,2.787776231766
130,335.0,25.0,6.0,500.0,20.0,3.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.015184614807,1.0,2.554657936096
131,50.0,50.0,4.0,1000.0,10.0,3.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,2.440977573395
132,25.0,25.0,4.0,1500.0,10.0,5.0,35.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.048962302506,1.0,2.594343662262
133,335.0,25.0,6.0,500.0,10.0,3.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.015184614807,1.0,2.60205078125
134,335.0,25.0,4.0,1000.0,20.0,4.0,30.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.017016153783,1.0,2.73363161087
135,50.0,50.0,8.0,2000.0,20.0,4.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.16684551537,1.0,2.946126461029
136,50.0,50.0,4.0,1000.0,20.0,3.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,2.482441902161
137,335.0,25.0,4.0,1000.0,20.0,4.0,30.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.017016153783,1.0,2.787111997604
138,335.0,25.0,4.0,1000.0,15.0,4.0,30.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.017016153783,1.0,2.742256164551
139,25.0,25.0,4.0,1500.0,10.0,6.0,20.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.027978461236,1.0,2.465232133865
140,50.0,50.0,4.0,1500.0,10.0,6.0,40.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.143010437489,1.0,2.69337439537
141,50.0,50.0,10.0,1500.0,15.0,5.0,35.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.375402361155,1.0,2.692766666412
142,335.0,25.0,10.0,1000.0,5.0,5.0,35.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.019056558609,1.0,2.835725069046
143,335.0,25.0,8.0,1000.0,10.0,5.0,35.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.020377323031,1.0,2.609888553619
144,335.0,25.0,4.0,500.0,20.0,4.0,30.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.017016153783,1.0,2.778560400009
145,335.0,25.0,4.0,500.0,10.0,6.0,20.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,2.544441223145
146,335.0,25.0,8.0,1000.0,5.0,5.0,35.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.020377323031,1.0,2.608768939972
147,335.0,25.0,6.0,500.0,15.0,3.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.015184614807,1.0,2.66419506073
148,50.0,50.0,10.0,1000.0,5.0,6.0,40.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.429031252861,1.0,2.504480600357
149,335.0,25.0,4.0,500.0,20.0,6.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,2.493551015854
150,335.0,25.0,10.0,1000.0,15.0,3.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.016532301903,1.0,3.289508342743
151,335.0,25.0,6.0,1000.0,5.0,5.0,35.0,4.0,3000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.016698077321,1.0,3.042631626129
152,25.0,25.0,6.0,1500.0,5.0,4.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.046630766243,1.0,3.209438800812
153,25.0,25.0,6.0,1500.0,15.0,5.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.046630769968,1.0,3.300380706787
154,50.0,50.0,4.0,1000.0,15.0,4.0,30.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,3.145288467407
155,310.0,50.0,8.0,500.0,10.0,3.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.025077238679,1.0,3.183931827545
156,310.0,50.0,4.0,500.0,5.0,5.0,35.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.029932945967,1.0,3.504235029221
157,335.0,25.0,10.0,1000.0,10.0,4.0,20.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.016032300889,1.0,3.292058706284
158,25.0,25.0,6.0,1500.0,5.0,5.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.046630769968,1.0,3.429878473282
159,25.0,25.0,8.0,2000.0,10.0,4.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.065283074975,1.0,3.355144023895
